场景ID,子场景ID,设备ID,产品ID,产品名称,产品描述,价格,品牌,型号,图片URL
home,security,surveillanceCamera,1,海康威视DS-2CD2T47G0-L,400万像素高清夜视监控摄像头,899,海康威视,DS-2CD2T47G0-L,https://picsum.photos/seed/hikvision-camera/300/200
home,security,surveillanceCamera,2,大华DH-IPC-HFW2431M-I2,300万像素全彩夜视监控摄像头,799,大华,DH-IPC-HFW2431M-I2,https://picsum.photos/seed/dahua-camera/300/200
home,security,surveillanceCamera,3,小米智能摄像机2K全能版,2K超清夜视人形追踪,329,小米,MDWXJ05LM,https://picsum.photos/seed/xiaomi-camera/300/200
home,security,doorLock,1,凯迪仕K20 Pro,指纹密码刷卡APP远程猫眼智能门锁,2699,凯迪仕,K20 Pro,https://picsum.photos/seed/kaadas-lock/300/200
home,security,doorLock,2,德施曼R7P Max,3D人脸识别指纹密码智能门锁,3299,德施曼,R7P Max,https://picsum.photos/seed/dessmann-lock/300/200
home,security,doorLock,3,小米智能门锁Pro,指纹密码NFC蓝牙APP多种开锁方式,1299,小米,XMSMMKS03LM,https://picsum.photos/seed/xiaomi-lock/300/200
home,security,alarmSystem,1,博世B4410i,烟雾报警器,249,博世,B4410i,https://picsum.photos/seed/bosch-smoke/300/200
home,security,alarmSystem,2,海尔燃气报警器,家用燃气泄漏检测报警,129,海尔,JRB-Q01,https://picsum.photos/seed/haier-gas/300/200
home,security,alarmSystem,3,360智能门铃5Pro,可视门铃高清夜视,299,360,DB128,https://picsum.photos/seed/360-doorbell/300/200
home,smartHome,light,1,Yeelight彩光灯,智能彩光灯泡WiFi控制,69,Yeelight,YLDP06YL,https://picsum.photos/seed/yeelight/300/200
home,smartHome,light,2,小米智能灯泡,WiFi连接语音控制,49,小米,ML-L05,https://picsum.photos/seed/xiaomi-light/300/200
home,smartHome,light,3,飞利浦Hue白光灯,智能调光灯泡,129,飞利浦,9290022820,https://picsum.photos/seed/philips-light/300/200
home,smartHome,thermostat,1,小米空调伴侣2,智能空调控制器,169,小米,K1,https://picsum.photos/seed/xiaomi-thermostat/300/200
home,smartHome,thermostat,2,华为智能温控器,精准控温WiFi连接,249,华为,WS7100,https://picsum.photos/seed/huawei-thermostat/300/200
home,smartHome,thermostat,3,巢智能恒温器,自适应学习温控,1299,巢,NEST-T3007ES,https://picsum.photos/seed/nest-thermostat/300/200
home,smartHome,curtain,1,绿米智能窗帘电机,WiFi连接语音控制,349,绿米,ZNLDP12LM,https://picsum.photos/seed/aqara-curtain/300/200
home,smartHome,curtain,2,小米智能窗帘伴侣,自动开合窗帘,299,小米,MCCGQ02LM,https://picsum.photos/seed/xiaomi-curtain/300/200
home,smartHome,curtain,3,创米小白智能窗帘,APP控制语音控制,329,创米小白,CM-101,https://picsum.photos/seed/chuangmi-curtain/300/200
home,health,scale,1,小米体脂秤3,13项身体数据检测,119,小米,XMTZC05HM,https://picsum.photos/seed/xiaomi-scale/300/200
home,health,scale,2,华为体脂秤Pro,14项身体数据检测,179,华为,BSH-W01,https://picsum.photos/seed/huawei-scale/300/200
home,health,scale,3,有品PICOOC体脂秤S3,精准测量16项身体数据,199,有品,S3,https://picsum.photos/seed/picooc-scale/300/200
home,health,watch,1,Apple Watch Series 8,血氧心率监测,2999,苹果,MWET3CH/A,https://picsum.photos/seed/apple-watch/300/200
